index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,
308,92.423,1.540383333,1756803443,5,0.7,3.5,25
309,92.727,1.54545,1756803443,5,0.7,3.5,25
310,93.026,1.550433333,1756803443,5,0.66,3.3,25
311,93.327,1.55545,1756803444,5,0.61,3.05,25
312,93.627,1.56045,1756803444,5,0.7,3.5,25
313,93.927,1.56545,1756803444,5,0.7,3.5,25
314,94.225,1.570416667,1756803445,5,0.7,3.5,25
315,94.522,1.575366667,1756803445,5,0.61,3.05,25
316,94.827,1.58045,1756803445,5,0.62,3.1,25
317,95.127,1.58545,1756803446,5,0.63,3.15,25
318,95.427,1.59045,1756803446,5,0.68,3.4,25
319,95.724,1.5954,1756803446,5,0.69,3.45,25
320,96.027,1.60045,1756803446,5,0.55,2.75,25
321,96.327,1.60545,1756803447,5,0.61,3.05,25
322,96.627,1.61045,1756803447,5,0.61,3.05,25
323,96.925,1.615416667,1756803447,5,0.68,3.4,25
324,97.227,1.62045,1756803448,5,0.7,3.5,25
325,97.527,1.62545,1756803448,5,0.69,3.45,25
326,97.824,1.6304,1756803448,5,0.61,3.05,25
327,98.122,1.635366667,1756803449,5,0.66,3.3,25
328,98.427,1.64045,1756803449,5,0.66,3.3,25
329,98.726,1.645433333,1756803449,5,0.66,3.3,25
330,99.025,1.650416667,1756803449,5,0.69,3.45,25
331,99.326,1.655433333,1756803450,5,0.61,3.05,25
332,99.627,1.66045,1756803450,5,0.69,3.45,25
333,99.927,1.66545,1756803450,5,0.67,3.35,25
334,100.227,1.67045,1756803451,5,0.67,3.35,25
335,100.527,1.67545,1756803451,5,0.67,3.35,25
336,100.825,1.680416667,1756803451,5,0.67,3.35,25
337,101.126,1.685433333,1756803452,5,0.61,3.05,25
338,101.422,1.690366667,1756803452,5,0.58,2.9,25
339,101.722,1.695366667,1756803452,5,0.61,3.05,25
340,102.025,1.700416667,1756803452,5,0.69,3.45,25
341,102.327,1.70545,1756803453,5,0.7,3.5,25
342,102.625,1.710416667,1756803453,5,0.62,3.1,25
343,102.927,1.71545,1756803453,5,0.62,3.1,25
344,103.226,1.720433333,1756803454,5,0.61,3.05,25
345,103.524,1.7254,1756803454,5,0.62,3.1,25
346,103.824,1.7304,1756803454,5,0.65,3.25,25
347,104.127,1.73545,1756803455,5,0.68,3.4,25
348,104.424,1.7404,1756803455,5,0.61,3.05,25
349,104.727,1.74545,1756803455,5,0.68,3.4,25
350,105.023,1.750383333,1756803455,5,0.68,3.3,25
351,105.324,1.7554,1756803456,5,0.66,3.3,25
352,105.627,1.76045,1756803456,5,0.68,3.4,25
353,105.927,1.76545,1756803456,5,0.69,3.45,25
354,106.227,1.77045,1756803457,5,0.6,3,25
355,106.523,1.775383333,1756803457,5,0.63,3.15,25
356,106.827,1.78045,1756803457,5,0.61,3.05,25
357,107.123,1.785383333,1756803458,5,0.68,3.4,25
358,107.427,1.79045,1756803458,5,0.68,3.4,25
359,107.724,1.7954,1756803458,5,0.69,3.45,25
360,108.027,1.80045,1756803458,5,0.63,3.15,25
361,108.327,1.80545,1756803459,5,0.61,3.05,25
362,108.627,1.81045,1756803459,5,0.61,3.05,25
363,108.927,1.81545,1756803459,5,0.7,3.5,25
364,109.226,1.820433333,1756803460,5,0.69,3.45,25
365,109.523,1.825383333,1756803460,5,0.69,3.45,25
366,109.827,1.83045,1756803460,5,0.68,3.4,25
367,110.127,1.83545,1756803461,5,0.61,3.05,25
368,110.425,1.840416667,1756803461,5,0.69,3.45,25
369,110.727,1.84545,1756803461,5,0.69,3.45,25
370,111.022,1.850366667,1756803461,5,0.61,3.05,25
371,111.327,1.85545,1756803462,5,0.61,3.05,25
372,111.627,1.86045,1756803462,5,0.64,3.2,25
373,111.926,1.865433333,1756803462,5,0.64,3.2,25
374,112.226,1.870433333,1756803463,5,0.54,2.7,25
375,112.522,1.875366667,1756803463,5,0.7,3.5,25
376,112.827,1.88045,1756803463,5,0.61,3.05,25
377,113.127,1.88545,1756803464,5,0.67,3.35,25
378,113.427,1.89045,1756803464,5,0.69,3.45,25
379,113.727,1.89545,1756803464,5,0.64,3.2,25
380,114.026,1.900433333,1756803464,5,0.64,3.2,25
381,114.327,1.90545,1756803465,5,0.63,3.15,25
382,114.626,1.910433333,1756803465,5,0.62,3.1,25
383,114.927,1.91545,1756803465,5,0.69,3.45,25
384,115.227,1.92045,1756803466,5,0.68,3.4,25
385,115.523,1.925383333,1756803466,5,0.63,3.15,25
386,115.827,1.93045,1756803466,5,0.62,3.1,25
387,116.127,1.93545,1756803467,5,0.62,3.1,25
388,116.427,1.94045,1756803467,5,0.69,3.45,25
389,116.727,1.94545,1756803467,5,0.7,3.5,25
390,117.026,1.950433333,1756803467,5,0.7,3.5,25
391,117.326,1.955433333,1756803468,5,0.51,2.55,25
392,117.627,1.96045,1756803468,5,0.68,3.4,25
393,117.926,1.965433333,1756803468,5,0.69,3.45,25
394,118.224,1.9704,1756803469,5,0.69,3.45,25
395,118.527,1.97545,1756803469,5,0.62,3.1,25
396,118.827,1.98045,1756803469,5,0.69,3.45,25
397,119.124,1.9854,1756803470,5,0.69,3.45,25
398,119.425,1.990416667,1756803470,5,0.63,3.15,25
399,119.727,1.99545,1756803470,5,0.65,3.25,25
400,120.026,2.000433333,1756803470,5,0.61,3.05,25
401,120.325,2.005416667,1756803471,5,0.69,3.45,25
402,120.623,2.010383333,1756803471,5,0.69,3.45,25
403,120.927,2.01545,1756803471,5,0.68,3.4,25
404,121.222,2.020366667,1756803472,5,0.62,3.1,25
405,121.527,2.02545,1756803472,5,0.62,3.1,25
406,121.826,2.030433333,1756803472,5,0.7,3.5,25
407,122.126,2.035433333,1756803473,5,0.69,3.45,25
408,122.427,2.04045,1756803473,5,0.55,2.75,25
409,122.724,2.0454,1756803473,5,0.55,2.75,25
410,123.025,2.050416667,1756803473,5,0.68,3.4,25
411,123.327,2.05545,1756803474,5,0.62,3.1,25
412,123.625,2.060416667,1756803474,5,0.61,3.05,25
413,123.925,2.065416667,1756803474,5,0.67,3.35,25
414,124.226,2.070433333,1756803475,5,0.69,3.45,25
415,124.526,2.075433333,1756803475,5,0.71,3.55,50
416,124.825,2.080416667,1756803475,5,0.71,3.55,50
417,125.126,2.085433333,1756803476,5,0.67,3.35,50
418,125.427,2.09045,1756803476,5,0.71,3.55,50
419,125.726,2.095433333,1756803476,5,0.65,3.25,50
420,126.025,2.100416667,1756803476,5,0.73,3.65,50
421,126.327,2.10545,1756803477,5,0.68,3.4,50
422,126.627,2.11045,1756803477,5,0.74,3.7,50
423,126.927,2.11545,1756803477,5,0.74,3.7,50
424,127.227,2.12045,1756803478,5,0.72,3.6,50
425,127.527,2.12545,1756803478,5,0.68,3.4,50
426,127.825,2.130416667,1756803478,5,0.61,3.05,50
427,128.125,2.135416667,1756803479,5,0.67,3.35,50
428,128.425,2.140416667,1756803479,5,0.76,3.8,50
429,128.724,2.1454,1756803479,5,0.65,3.25,50
430,129.027,2.15045,1756803479,5,0.73,3.65,50
431,129.327,2.15545,1756803480,5,0.73,3.65,50
432,129.625,2.160416667,1756803480,5,0.66,3.3,50
433,129.924,2.1654,1756803480,5,0.74,3.7,50
434,130.227,2.17045,1756803481,5,0.67,3.35,50
435,130.527,2.17545,1756803481,5,0.71,3.55,50
436,130.823,2.180383333,1756803481,5,0.68,3.4,50
437,131.127,2.18545,1756803482,5,0.69,3.45,50
438,131.427,2.19045,1756803482,5,0.69,3.45,50
439,131.727,2.19545,1756803482,5,0.74,3.7,50
440,132.027,2.20045,1756803482,5,0.69,3.45,50
441,132.323,2.205383333,1756803483,5,0.7,3.5,50
442,132.626,2.210433333,1756803483,5,0.68,3.4,50
443,132.927,2.21545,1756803483,5,0.76,3.8,50
444,133.227,2.22045,1756803484,5,0.71,3.55,50
445,133.523,2.225383333,1756803484,5,0.71,3.55,50
446,133.827,2.23045,1756803484,5,0.68,3.4,50
447,134.127,2.23545,1756803485,5,0.68,3.4,50
448,134.424,2.2404,1756803485,5,0.72,3.6,50
449,134.723,2.245383333,1756803485,5,0.69,3.45,50
450,135.024,2.2504,1756803485,5,0.71,3.55,50
451,135.326,2.255433333,1756803486,5,0.67,3.35,50
452,135.626,2.260433333,1756803486,5,0.74,3.7,50
453,135.927,2.26545,1756803486,5,0.74,3.7,50
454,136.224,2.2704,1756803487,5,0.69,3.45,50
455,136.527,2.27545,1756803487,5,0.73,3.65,50
456,136.827,2.28045,1756803487,5,0.68,3.4,50
457,137.127,2.28545,1756803488,5,0.71,3.55,50
458,137.427,2.29045,1756803488,5,0.66,3.3,50
459,137.727,2.29545,1756803488,5,0.74,3.7,50
460,138.025,2.300416667,1756803488,5,0.74,3.7,50
461,138.326,2.305433333,1756803489,5,0.68,3.4,50
462,138.627,2.31045,1756803489,5,0.73,3.65,50
463,138.926,2.315433333,1756803489,5,0.67,3.35,50
464,139.227,2.32045,1756803490,5,0.74,3.7,50
465,139.527,2.32545,1756803490,5,0.7,3.5,50
466,139.826,2.330433333,1756803490,5,0.71,3.55,50
467,140.123,2.335383333,1756803491,5,0.71,3.55,50
468,140.425,2.340416667,1756803491,5,0.67,3.35,50
469,140.724,2.3454,1756803491,5,0.73,3.65,50
470,141.027,2.35045,1756803491,5,0.71,3.55,50
471,141.327,2.35545,1756803492,5,0.68,3.4,50
472,141.626,2.360433333,1756803492,5,0.7,3.5,50
473,141.927,2.36545,1756803492,5,0.68,3.4,50
474,142.225,2.370416667,1756803493,5,0.71,3.55,50
475,142.525,2.375416667,1756803493,5,0.71,3.55,50
476,142.824,2.3804,1756803493,5,0.67,3.35,50
477,143.122,2.385366667,1756803494,5,0.71,3.55,50
478,143.427,2.39045,1756803494,5,0.6,3,50
479,143.723,2.395383333,1756803494,5,0.69,3.45,50
480,144.024,2.4004,1756803494,5,0.73,3.65,50
