index,time,minutes,dateTime,SPD33.CH1_Voltage,SPD33.CH1_Current,SPD33.CH1_Power,SPD33.CH2_Voltage,SPD33.CH2_Current,SPD33.CH2_Power,,cpuload
283,84.918,1.4153,1758013615,5,0.39,1.95,0,0,0,-1,0
284,85.219,1.420316667,1758013615,5,0.39,1.95,0,0,0,-1,0
285,85.519,1.425316667,1758013615,5,0.39,1.95,0,0,0,-1,0
286,85.819,1.430316667,1758013615,5,0.39,1.95,0,0,0,-1,0
287,86.116,1.435266667,1758013616,5,0.38,1.9,0,0,0,-1,0
288,86.419,1.440316667,1758013616,5,0.39,1.95,0,0,0,-1,0
289,86.717,1.445283333,1758013616,5,0.38,1.9,0,0,0,-1,0
290,87.019,1.450316667,1758013617,5,0.39,1.95,0,0,0,-1,0
291,87.319,1.455316667,1758013617,5,0.39,1.95,0,0,0,-1,0
292,87.619,1.460316667,1758013617,5,0.39,1.95,0,0,0,-1,0
293,87.918,1.4653,1758013618,5,0.39,1.95,0,0,0,-1,0
294,88.217,1.470283333,1758013618,5,0.39,1.95,0,0,0,-1,0
295,88.519,1.475316667,1758013618,5,0.39,1.95,0,0,0,-1,0
296,88.817,1.480283333,1758013618,5,0.38,1.9,0,0,0,-1,0
297,89.116,1.485266667,1758013619,5,0.39,1.95,0,0,0,-1,0
298,89.419,1.490316667,1758013619,5,0.39,1.95,0,0,0,-1,0
299,89.719,1.495316667,1758013619,5,0.39,1.95,0,0,0,-1,0
300,90.015,1.50025,1758013620,5,0.39,1.95,0,0,0,-1,0
301,90.316,1.505266667,1758013620,5,0.39,1.95,0,0,0,-1,0
302,90.617,1.510283333,1758013620,5,0.39,1.95,0,0,0,-1,0
303,90.917,1.515283333,1758013621,5,0.38,1.9,0,0,0,-1,0
304,91.219,1.520316667,1758013621,5,0.39,1.95,0,0,0,-1,0
305,91.517,1.525283333,1758013621,5,0.39,1.95,0,0,0,-1,0
306,91.819,1.530316667,1758013621,5,0.38,1.9,0,0,0,-1,0
307,92.119,1.535316667,1758013622,5,0.39,1.95,0,0,0,-1,0
308,92.417,1.540283333,1758013622,5,0.38,1.9,0,0,0,-1,0
309,92.718,1.5453,1758013622,5,0.39,1.95,0,0,0,-1,0
310,93.018,1.5503,1758013623,5,0.39,1.95,0,0,0,-1,0
