,period,load,exp_duration,experiment,duration,energy,power_avg,ID
625,0.05,20,80023,stress-ng,80.02,263.0682500000002,3.2875312421894556,6
626,0.05,20,80022,stress-ng,80.016,262.5409499999993,3.2811056538692176,7
627,0.05,60,80022,stress-ng,80.015,299.1778499999963,3.7390220583640104,26
628,0.05,0,80026,stress-ng,80.02,189.57495000000114,2.3690946013496768,43
629,0.05,0,80024,stress-ng,80.018,189.4429750000022,2.3675044989877554,63
630,0.05,40,80023,stress-ng,80.019,279.31012499999645,3.4905475574550597,87
631,0.05,100,80023,stress-ng,80.019,329.7945000000088,4.121452405053909,120
632,0.05,40,80023,stress-ng,80.02,280.3678499999952,3.5037221944513273,129
633,0.05,100,80024,stress-ng,80.02,329.4693000000069,4.117336915771144,132
634,0.05,20,80022,stress-ng,80.019,263.7718499999962,3.296365238255867,134
635,0.05,60,80022,stress-ng,80.021,298.5819749999887,3.731295222503951,152
636,0.05,100,80022,stress-ng,80.004,329.48737500000993,4.118386268186715,178
637,0.05,80,80037,stress-ng,80.03,314.53209999999797,3.930177433462426,197
638,0.05,40,80023,stress-ng,80.019,280.3180499999983,3.5031436283882367,204
639,0.05,20,80022,stress-ng,80.015,262.5382499999988,3.2811129163281736,207
640,0.05,100,80026,stress-ng,80.018,330.1299000000145,4.125695468519765,216
641,0.05,80,80033,stress-ng,80.03,313.8648750000003,3.9218402474072263,238
642,0.05,0,80026,stress-ng,80.018,189.7032250000022,2.3707568921992825,259
643,0.05,80,80023,stress-ng,80.019,313.87689999999753,3.9225296492082817,270
644,0.05,20,80021,stress-ng,80.016,263.0712249999986,3.287732765946793,285
645,0.05,80,80036,stress-ng,80.031,313.48424999999577,3.917035273831337,308
646,0.05,80,80032,stress-ng,80.03,314.8314999999923,3.933918530550947,311
647,0.05,100,80025,stress-ng,80.018,329.61097500000204,4.119210365167863,336
648,0.05,0,80026,stress-ng,80.023,189.61680000000325,2.369528760481402,342
649,0.05,60,80060,stress-ng,80.05,296.7578749999952,3.7071564647094966,343
650,0.05,60,80022,stress-ng,80.015,297.7452999999924,3.721118540273604,358
651,0.05,0,80026,stress-ng,80.023,190.21604999999897,2.3770172325456302,379
652,0.05,40,80087,stress-ng,80.08,280.02719999999374,3.4968431568430787,387
653,0.05,60,80052,stress-ng,80.048,298.5940999999961,3.7301881371176804,418
654,0.05,0,80025,stress-ng,80.019,189.22130000000493,2.3647046326498073,457
655,0.05,40,80021,stress-ng,80.013,280.8623999999917,3.510209590941368,458
656,0.05,100,80024,stress-ng,80.02,329.9226250000039,4.123002061984553,466
657,0.05,20,80022,stress-ng,80.017,263.49697499999746,3.293012422360217,522
658,0.05,60,80022,stress-ng,80.017,298.4805499999915,3.730214204481442,533
659,0.05,80,80028,stress-ng,80.022,313.8454499999937,3.921989577866008,553
660,0.05,20,80026,stress-ng,80.018,262.2355499999979,3.277207003424203,574
661,0.05,80,80029,stress-ng,80.024,313.65537499999954,3.9195163326002143,594
662,0.05,80,80035,stress-ng,80.032,313.7369749999992,3.9201441298480506,598
663,0.05,0,80025,stress-ng,80.019,188.57255000000632,2.356597183169076,603
664,0.05,40,80099,stress-ng,80.095,279.6581249999949,3.491580310880766,607
665,0.05,60,80023,stress-ng,80.021,297.2452249999949,3.714590232563888,614
666,0.05,100,80032,stress-ng,80.03,329.9122500000038,4.122357241034659,622
667,0.05,100,80024,stress-ng,80.017,329.5622250000121,4.1186525988229015,666
668,0.05,0,80026,stress-ng,80.02,189.37782500000569,2.3666311547113934,679
669,0.05,60,80033,stress-ng,80.028,297.750049999997,3.7205734243014565,682
670,0.05,60,80022,stress-ng,80.018,298.0946249999925,3.7253446099626646,688
671,0.05,100,80023,stress-ng,80.017,329.59945000000766,4.119117812464947,755
672,0.05,0,80026,stress-ng,80.017,188.97030000000382,2.361626904282888,761
673,0.05,0,80025,stress-ng,80.025,190.51344999999998,2.3806741643236484,779
674,0.05,40,80070,stress-ng,80.065,280.1134999999941,3.4985761568724674,786
675,0.05,40,80022,stress-ng,80.014,279.38399999999115,3.4916889544328638,801
676,0.05,40,80039,stress-ng,80.033,280.5417249999901,3.5053256156834065,808
677,0.05,60,80039,stress-ng,80.033,298.04617499999495,3.724041020578948,856
678,0.05,20,80022,stress-ng,79.996,262.25205000000045,3.278314540727042,892
679,0.05,100,80025,stress-ng,80.022,329.30155000000644,4.115137712129244,914
680,0.05,80,80022,stress-ng,80.014,313.83817499999645,3.9222907866122987,915
681,0.05,20,80022,stress-ng,80.017,263.5736499999992,3.29397065623554,921
