,period,exp_duration,experiment,duration,energy,power_avg,ID
158,0.03,80073,stress-ng,80.07,264.22070000000343,3.299871362557805,558
159,0.03,80027,stress-ng,80.017,315.02862499999316,3.9370211954958716,255
160,0.03,80023,stress-ng,80.015,263.69395000000895,3.295556458164206,355
161,0.03,80026,stress-ng,80.017,192.4290499999899,2.4048520939299136,252
162,0.03,80023,stress-ng,80.017,280.95122499999724,3.5111441943586645,366
163,0.03,80024,stress-ng,80.021,330.79067500000997,4.133798315442321,88
164,0.03,80023,stress-ng,80.018,264.1055500000019,3.300576745232347,557
165,0.03,80022,stress-ng,80.015,263.9739500000025,3.299055802037149,111
166,0.03,80025,stress-ng,80.02,331.3794500000114,4.141207823044382,265
167,0.03,80022,stress-ng,80.019,299.15862499999537,3.7385948962120916,132
168,0.03,80025,stress-ng,80.018,192.8555749999905,2.410152403209159,105
169,0.03,80025,stress-ng,80.022,192.97347499999015,2.4115052735496505,146
170,0.03,80026,stress-ng,80.023,316.05992500000656,3.9496135486048582,241
171,0.03,80034,stress-ng,80.031,315.4158249999996,3.94117060888905,502
172,0.03,80023,stress-ng,80.018,300.06979999998975,3.750028743532577,77
173,0.03,80022,stress-ng,80.015,300.4262499999941,3.754624132974994,136
174,0.03,80022,stress-ng,80.014,281.02022499999913,3.5121381883170337,76
175,0.03,80038,stress-ng,80.032,299.91822499998983,3.7474788209714847,134
176,0.03,80025,stress-ng,80.022,192.64569999999372,2.407409212466493,133
177,0.03,80025,stress-ng,80.016,331.0302000000079,4.137050089982102,569
178,0.03,80022,stress-ng,80.016,298.53762499999544,3.7309741176764075,456
179,0.03,80035,stress-ng,80.03,314.96122499999626,3.9355394851930057,468
180,0.04,80023,stress-ng,80.02,263.1866000000041,3.289010247438192,405
181,0.04,80035,stress-ng,80.028,314.3915250000026,3.928519080821745,294
182,0.04,80022,stress-ng,80.015,263.8293499999982,3.2972486408798125,404
183,0.04,80027,stress-ng,80.024,190.04950000000105,2.374906278116578,263
184,0.04,80023,stress-ng,80.017,279.83647499999404,3.4972127797842214,203
185,0.04,80023,stress-ng,80.019,281.0608999999963,3.512427048575917,29
186,0.04,80022,stress-ng,80.016,263.0827499999998,3.2878767996400695,250
187,0.04,80023,stress-ng,80.014,314.2456749999973,3.9273836453620277,430
188,0.04,80022,stress-ng,80.019,280.3546499999952,3.5036010197577476,288
189,0.04,80023,stress-ng,80.018,280.362899999995,3.5037479067209256,276
190,0.04,80039,stress-ng,80.033,298.9480499999905,3.735309809703378,249
191,0.04,80043,stress-ng,80.039,298.6516499999902,3.731326603280778,9
192,0.04,80036,stress-ng,80.03,315.29497499999303,3.9397097963262904,24
193,0.04,80035,stress-ng,80.03,299.43824999999117,3.741575034362004,23
194,0.04,80023,stress-ng,80.017,330.17382500000446,4.126295974605452,22
195,0.04,80043,stress-ng,80.035,299.45539999999187,3.7415555694382694,517
196,0.04,80023,stress-ng,80.02,263.38180000000034,3.2914496375906066,501
197,0.04,80033,stress-ng,80.028,299.6062499999899,3.7437678062676802,267
198,0.04,80023,stress-ng,80.013,330.3793500000165,4.129070900978797,244
199,0.04,80029,stress-ng,80.009,330.60467500001073,4.132093576972725,420
200,0.04,80025,stress-ng,80.02,192.43109999999058,2.4047875531116043,6
201,0.04,80027,stress-ng,80.001,314.6924249999972,3.933606142423184,565
202,0.04,80057,stress-ng,80.037,297.04564999999747,3.7113541237177485,309
203,0.04,80022,stress-ng,80.014,263.0081749999947,3.287026957782322,199
204,0.04,80025,stress-ng,80.018,189.2261250000053,2.3647944837412247,156
205,0.04,80029,stress-ng,80.02,313.3345999999993,3.9157035741064647,578
206,0.04,80037,stress-ng,80.031,314.19302499999844,3.9258915295322865,547
207,0.04,80023,stress-ng,79.993,330.4576500000137,4.131082094683456,383
208,0.04,80025,stress-ng,80.018,330.258925000011,4.127307918218539,378
209,0.04,80023,stress-ng,80.02,263.5927250000009,3.2940855411147325,473
210,0.04,80040,stress-ng,80.036,280.8168999999921,3.5086323654354548,576
211,0.04,80068,stress-ng,80.059,263.0961000000028,3.286277620255097,72
212,0.04,80031,stress-ng,80.027,313.18027499999965,3.9134326539792776,74
213,0.04,80030,stress-ng,80.027,299.7758499999931,3.7459338723180067,338
214,0.04,80022,stress-ng,80.02,298.534124999994,3.7307438765307923,472
215,0.04,80026,stress-ng,80.023,314.56352499999866,3.9309139247466187,572
216,0.04,80030,stress-ng,80.017,330.38115000001847,4.128886986515597,345
217,0.04,80034,stress-ng,80.031,314.64345000000185,3.9315196611313343,87
218,0.04,80026,stress-ng,80.024,298.99052499999186,3.73626068429461,121
219,0.04,80026,stress-ng,80.018,192.27907499999387,2.402947774250717,120
220,0.04,80026,stress-ng,80.02,189.87337500000248,2.372823981504655,89
221,0.04,80026,stress-ng,80.02,192.04337499999386,2.399942201949436,112
222,0.04,80091,stress-ng,80.088,280.57229999999566,3.5033001198680913,560
223,0.04,80028,stress-ng,80.021,299.09419999999216,3.737696354706791,102
224,0.04,80022,stress-ng,80.015,330.46212500001445,4.130002187090101,101
225,0.04,80024,stress-ng,80.015,262.22722500000276,3.2772258326564114,479
226,0.04,80035,stress-ng,80.03,314.87937499999754,3.934516743721074,159
227,0.04,80027,stress-ng,80.019,192.36044999999055,2.4039346905108854,546
228,0.04,80025,stress-ng,80.023,189.42875000000112,2.3671788110918253,53
229,0.04,80023,stress-ng,80.023,330.21582500000795,4.126511440460967,196
230,0.04,80025,stress-ng,80.02,188.72660000000658,2.358492876780887,301
231,0.04,80059,stress-ng,80.053,281.08342499999725,3.5112166314816093,191
232,0.04,80024,stress-ng,80.018,330.29987500000834,4.127819678072538,190
233,0.04,80032,stress-ng,80.026,330.7412750000124,4.132922737610432,50
234,0.04,80022,stress-ng,80.015,262.82492500000296,3.2846956820596507,52
235,0.04,80022,stress-ng,80.01,262.75885000000756,3.284075115610643,175
236,0.04,80022,stress-ng,80.014,280.67077500000124,3.5077708276051847,553
237,0.04,80089,stress-ng,80.083,280.964049999994,3.508410648951638,544
238,0.04,80026,stress-ng,80.024,192.45062499999224,2.4049113390981733,60
239,0.04,80022,stress-ng,80.016,280.1066499999913,3.500632998400211,166
240,0.05,80037,stress-ng,80.032,314.2031999999975,3.9259696121551064,314
241,0.05,80026,stress-ng,80.017,188.97030000000382,2.361626904282888,419
242,0.05,80022,stress-ng,80.017,298.4805499999915,3.730214204481442,360
243,0.05,80023,stress-ng,80.019,329.7945000000088,4.121452405053909,305
244,0.05,80029,stress-ng,80.024,313.65537499999954,3.9195163326002143,442
245,0.05,80026,stress-ng,80.023,189.61680000000325,2.369528760481402,297
246,0.05,80025,stress-ng,80.025,190.51344999999998,2.3806741643236484,391
247,0.05,80087,stress-ng,80.08,280.02719999999374,3.4968431568430787,422
248,0.05,80026,stress-ng,80.023,190.21604999999897,2.3770172325456302,290
249,0.05,80052,stress-ng,80.048,298.5940999999961,3.7301881371176804,364
250,0.05,80026,stress-ng,80.02,189.37782500000569,2.3666311547113934,495
251,0.05,80032,stress-ng,80.03,314.8314999999923,3.933918530550947,343
252,0.05,80022,stress-ng,80.019,263.7718499999962,3.296365238255867,454
253,0.05,80060,stress-ng,80.05,296.7578749999952,3.7071564647094966,436
254,0.05,80023,stress-ng,80.021,297.2452249999949,3.714590232563888,488
255,0.05,80022,stress-ng,80.017,263.49697499999746,3.293012422360217,377
256,0.05,80033,stress-ng,80.028,297.750049999997,3.7205734243014565,441
