,period,load,experiment,power_mean,power_std,energy_mean,energy_std,duration_mean,duration_std,loggings_mean,loggings_std,runs
89,0.5,90,stress-ng,4.141232352830446,0.018380890462786546,331.4115692857171,1.4674830183433443,80.02728571428571,0.004127179841656759,160.0,0.0,35
90,0.5,100,stress-ng,4.251450220124226,0.022936350258771075,340.22194142858433,1.8358708870568663,80.02491428571427,0.002524834631410987,160.0,0.0,35
91,1.0,0,stress-ng,2.4980561463738624,0.01408491945570286,199.90844285714547,1.1273221152279511,80.02560000000001,0.0006039088361265759,80.0,0.0,35
92,1.0,5,stress-ng,3.0516012159816506,0.054525986860744106,244.26268285716387,4.36799119510491,80.04417142857143,0.1250901993890524,80.0,0.0,35
93,1.0,10,stress-ng,3.1932777516411224,0.037973379508980505,255.6548950000168,2.972840340254189,80.06065714285714,0.11540438947130087,80.0,0.0,35
94,1.0,15,stress-ng,3.2624485038281836,0.030039544987424453,261.1173250000122,2.431927981565082,80.03717142857143,0.059044592178676476,80.0,0.0,35
95,1.0,20,stress-ng,3.331990237989823,0.016512080961821787,266.68341714286333,1.3205867469837385,80.03728571428572,0.03934954325811172,80.0,0.0,35
96,1.0,30,stress-ng,3.460245110629745,0.018993105245016077,276.95644999999996,1.5079280999522853,80.03957142857143,0.0317372352425361,80.0,0.0,35
97,1.0,40,stress-ng,3.567691818608765,0.020112725499569564,285.5380699999962,1.611647933289057,80.0344,0.025719299231143973,80.0,0.0,35
98,1.0,50,stress-ng,3.678838843966709,0.02567051942314646,294.4377978571379,2.0459367620271958,80.03554285714286,0.01821657754571479,80.0,0.0,35
99,1.0,60,stress-ng,3.819908260235692,0.01926871589940255,305.71578785713945,1.5460866470434491,80.03222857142858,0.010032552060186524,80.0,0.0,35
100,1.0,70,stress-ng,3.9285604804475263,0.021017887416437207,314.40521428571435,1.6919790054756065,80.03062857142858,0.008146040952097356,80.0,0.0,35
101,1.0,80,stress-ng,4.029753542216857,0.01861465472096643,322.5039649999994,1.495694035760918,80.03068571428571,0.006037975062646852,80.0,0.0,35
102,1.0,90,stress-ng,4.139519682047538,0.018363230038470988,331.27320785714556,1.4660054990189613,80.02697142857143,0.0036176504748235984,80.0,0.0,35
103,1.0,100,stress-ng,4.248209202408826,0.022908014444133488,339.9613750000126,1.8354826648981064,80.02462857142858,0.002701695701564654,80.0,0.0,35
104,2.0,0,stress-ng,2.5187107811933034,0.02010274379949866,201.56119928571414,1.608954531645481,80.02554285714287,0.0005054326709543036,40.0,0.0,35
105,2.0,5,stress-ng,3.0227161060192964,0.05029532876459437,241.88673785716264,4.025604937520712,80.02297142857144,0.0017402791237500995,40.0,0.0,35
106,2.0,10,stress-ng,3.1855335509983362,0.028023277902648427,254.99503142858927,2.233838545457983,80.04791428571428,0.1045875291825196,40.0,0.0,35
107,2.0,15,stress-ng,3.2683701363235445,0.02128166416865029,261.59773285715477,1.6553387566316107,80.0393142857143,0.06002145274746358,40.0,0.0,35
108,2.0,20,stress-ng,3.3329308211811455,0.022095786671249257,266.76865214286306,1.777205844551466,80.04025714285714,0.04728035461767384,40.0,0.0,35
109,2.0,30,stress-ng,3.46095907486997,0.02329386603443627,277.0424714285714,1.8572452025687956,80.04791428571428,0.0421044719076463,40.0,0.0,35
110,2.0,40,stress-ng,3.5654078492283157,0.017643463044850496,285.37708428570994,1.4162150849641848,80.0405142857143,0.024522944152691527,40.0,0.0,35
111,2.0,50,stress-ng,3.680224464300088,0.023424758115017548,294.5767214285664,1.8916144377422357,80.04311428571428,0.020176823379328464,40.0,0.0,35
112,2.0,60,stress-ng,3.8200563485064882,0.01913827969348372,305.7190978571398,1.5298562907864377,80.03,0.011300702737131145,40.0,0.0,35
113,2.0,70,stress-ng,3.929373484916281,0.022802088954663156,314.4822628571442,1.828985711461904,80.03368571428571,0.010069673248308443,40.0,0.0,35
114,2.0,80,stress-ng,4.0304327187227225,0.019800480402003176,322.55209142856984,1.5880691219184104,80.02914285714286,0.006010495022887846,40.0,0.0,35
115,2.0,90,stress-ng,4.136559273592934,0.017529685699811625,331.0352557142871,1.4050606035329105,80.02671428571428,0.004281089942111925,40.0,0.0,35
116,2.0,100,stress-ng,4.2471246561409295,0.021264175205816853,339.87942928572573,1.7022246864490405,80.02577142857143,0.0029811734196328052,40.0,0.0,35
